"Public Housing Community Gardens","229 Hoddle St"," Collingwood",-37.8,144.99," "
"Public Housing Community Gardens","253 Hoddle St"," Collingwood",-37.8,144.99," "
"Public Housing Community Gardens","Alfred Street"," North Melbourne",-37.79,144.94," "

