'-35.349995','149.089214','Phillip Salvos Store','Phillip Market Place, off Botany Street'
'-32.940953','151.659457','Cardiff Salvos Store','53 Harrison Street'
'-32.960932','151.698019','Charlestown Salvos Store','Shop 2, 219 Pacific Highway'
'-34.492131','150.796243','Dapto Salvos Store','23 Princes Highway'
'-32.759769','151.591274','Green Hills Salvos Store','Shop 4-5, The Village, 1 Garnet Road'
'-34.563439','150.839109','Shellharbour Salvos Store','44 Shellharbour Shopping Centre'
'-34.452750','150.845363','Unanderra Salvos Store','9 Nudjia Street'
'-34.566307','150.860126','Warilla Salvos Store','238 Shellharbour Road'
'-34.486406','150.889986','Warrawong Salvos Store','Shop 5-9, Westfield Shopping Centre, 45 Cowper Street'
'-34.429908','150.891014','Wollongong Salvos Store','29 Ellen Street'
'-32.750325','151.590712','East Maitland Family Store','93 High Street'
'-32.733556','151.558017','Maitland City Family Store','318 High Street'
'-33.012873','151.589830','Toronto Family Store','150 Carey Street'
'-34.425191','150.891116','St Andrews Op Shop','274 Crown Street'
'-34.503742','150.797255','Anglican Opportunity Shops','Parkside Plaza'
'-34.499431','150.789424','Big Heart OP Shop','Marshall Street'
'-34.409019','150.893162','Big Heart OP Shop','Ralph Black Drive'
'-34.438568','150.887953','St Vinnies','Miller Street'
'-34.418807','150.901257','St Vinnies','Corrimal Plaza'
'-34.401886','150.895333','St Vinnies','Montague Street'
'-36.431295','149.844433','Lifeline Second World','Princes Highway'
'-36.431295','149.844433','St Vinnies','Princes Highway'
'-32.735697','151.559384','Presbyterian Opportunity Shop','High Street'
'-34.425291','150.886032','Op Shop Heaven','375 Crown Street'
'-38.330722','144.987534','RSPCA Oppurtunity Shop','193 Main Street'
'-33.891938','151.246122','Bondi Junction Salvos Store','20 Spring Street'
'-33.940817','151.149400','St Peters Salvos Store','7 Bellevue Street'
'-35.356059','149.040817','Open Door','Shop 11 Chapman Shops, Perry Drive'
'-33.924553','151.227615','St Vincent De Paul Store - Kingsford','381 Anzac Parade, Kingsford'
'-33.942546','151.239350','St Vincent De Paul Store - Maroubra Junction','785 Anzac Parade, Maroubra Junction'
'-27.510406','153.032074','Asthma Foundation Annerley','437-439 Ipswich Road'
'-27.411617','152.974815','Asthma Foundation Mitchelton','43 Blackwood Street'
'-27.318392','153.068132','Asthma Foundation Sandgate','97 Brighton Road'
'-27.444641','153.174133','Asthma Foundation Wynnum','131 Bay Terrace'
'-27.359026','153.039238','Asthma Foundation Zillmere','Shop 2-35 Handford Road'
'-33.999054','150.867385','Lifeline Ingleburn','64 Oxford Rd'
'-34.062243','150.820403','St Vincent De Paul Campbelltown','13 Warby St'
'-34.040675','150.861937','St Vincent De Paul Minto','4 Ben Lomond Rd'
'-33.991633','150.883603','St Vincent De Paul Macquarie Fields','69 Saywell Rd'
'-34.067731','150.813810','Salvo Store','214 Queen St'
'-34.775594','150.697527','St Vinnies','117B Queen St'
'-35.106051','150.624221','St Vinnies','199 Kerry St'
'-35.356103','150.470741','St Vinnies','251 Green St'
'-34.878157','150.600811','St Vinnies','77-79 Plunkett St'
'-34.054530','150.694955','Lifeline Camden','132 ARGYLE ST'
'-34.042223','150.735103','Lifeline Narellan','8-10 QUEEN ST'
'-34.477341','150.418181','St Vinnies','248 BONG BONG ST'
'-34.451725','150.446463','St Vinnies','22 BOWRAL RD'
'-34.551526','150.367904','St Vinnies','502A ARGYLE ST'
'-34.170267','150.614237','St Vinnies','13 COLDEN ST'
